"report_id","date_time","police_beat","address_number_primary","address_pd_primary","address_road_primary","address_sfx_primary","address_pd_intersecting","address_name_intersecting","address_sfx_intersecting","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"180456","2018-01-06 16:10:00","112","4000"," ","GENESEE","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"180447","2018-01-06 16:20:00","831","4700"," ","EL CAJON","BOULEVARD"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","1","0","MISDEMEANOR"
"180400","2018-01-06 18:30:00","443","4000"," ","COTTONWOOD","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180446","2018-01-06 19:41:00","512","3000"," ","LOGAN","AVENUE"," "," "," ","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","4","0",""
"180398","2018-01-06 20:05:00","531","3300"," ","FLORIDA","DRIVE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"181807","2018-01-06 20:25:00","813","3200"," ","UNIVERSITY","AVENUE"," "," "," ","21954(B)","VC","DRIVER CARE ON ROADWAY","0","1",""
"180396","2018-01-06 22:20:00","614","4900"," ","CORONADO","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180397","2018-01-07 00:01:00","614","2200"," ","BACON","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180422","2018-01-07 00:19:00","813","3200"," ","EL CAJON","BOULEVARD"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"180445","2018-01-07 00:41:00","813","2700"," ","EL CAJON","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","2","0",""
"180403","2018-01-07 01:43:00","624","4000"," ","TEXAS","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180390","2018-01-07 02:19:00","521","0"," ","11TH","AVENUE"," ","RUSS","BOULEVARD","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0","MISDEMEANOR"
"180463","2018-01-07 05:55:00","934","13700"," ","OLD EL CAM REAL"," "," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
